Title,Category,Cause,How_to_Fix,Example_Before,Example_After,Notes
IOException,Checked Exception,Issues with file or input/output streams.,Handle with try-catch; validate file paths.,"FileReader file = new FileReader(""x"");","try { FileReader file = new FileReader(""x""); } catch (IOException e) {}",Occurs during file operations and stream handling.
FileNotFoundException,File Handling,Missing file at the specified path.,Verify file paths and existence before access.,"FileReader file = new FileReader(""x"");","try { FileReader file = new FileReader(""x""); } catch (FileNotFoundException e) {}",Common cause during file operations.
EOFException,Input/Output,Unexpected end of input stream during data reading.,Ensure input streams are complete; handle EOF.,stream.read();,try { stream.read(); } catch (EOFException e) {},Raised in file and stream operations.
SQLException,Database Access,Issues with SQL syntax or database connections.,Validate database settings and query syntax.,"stmt.executeQuery(""INVALID SQL"");","try { stmt.executeQuery(""VALID SQL""); } catch (SQLException e) {}",Common during database operations.
MalformedURLException,URL Handling,Invalid URL format.,Verify URL syntax before operations.,"new URL(""htp://invalid.com"");","try { new URL(""https://valid.com""); } catch (MalformedURLException e) {}",Raised during URL parsing operations.
RemoteException,RMI (Remote),Communication failure during remote method invocation.,Validate RMI connections and server settings.,remote.method();,try { remote.method(); } catch (RemoteException e) {},Common in distributed systems.
ConnectException,Network Communication,Failure to establish a connection.,Ensure server availability; validate connection.,socket.connect();,try { socket.connect(); } catch (ConnectException e) {},Raised during client-server communication.
UnknownHostException,Network Communication,Hostname cannot be resolved.,Verify hostname and DNS settings.,"InetAddress.getByName(""invalid.com"");","try { InetAddress.getByName(""valid.com""); } catch (UnknownHostException e) {}",Common during socket programming.
SocketException,Network Communication,Errors in socket operations.,Validate socket settings and usage.,socket.getOutputStream();,try { socket.getOutputStream(); } catch (SocketException e) {},Raised during socket-based communication.
ClassNotFoundException,Reflection,Class definition not found at runtime.,Include all necessary classes in runtime classpath.,"Class.forName(""InvalidClass"");","try { Class.forName(""ValidClass""); } catch (ClassNotFoundException e) {}",Common in dynamic loading scenarios.
InstantiationException,Reflection,Attempting to instantiate abstract classes or interfaces.,Refactor code to use concrete implementations.,MyAbstract obj = new MyAbstract();,Properly implement the abstract classes.,Raised in runtime object creation.
InterruptedException,Thread Handling,Thread interrupted during waiting or sleeping.,Handle interrupts using try-catch blocks.,Thread.sleep(1000);,try { Thread.sleep(1000); } catch (InterruptedException e) {},Commonly occurs in multithreaded applications.
NegativeArraySizeException,Arrays,Attempting to create an array with a negative size.,Validate array size before creation.,int[] arr = new int[-1];,if(size >= 0) int[] arr = new int[size];,Critical when working with dynamic array sizing.
UnsupportedCharsetException,Charset Encoding,Using an unsupported character set for encoding.,Use supported charsets; validate configurations.,"Charset.forName(""unsupported"");","try { Charset.forName(""UTF-8""); } catch (UnsupportedCharsetException e) {}",Occurs during text encoding or decoding.
IllegalAccessException,Reflection,"Trying to access a class, method, or field without proper permissions.",Ensure correct access modifiers and use AccessibleObject.setAccessible(true) if needed.,"Field f = cls.getField(""privateField"");",try { f.setAccessible(true); } catch (IllegalAccessException e) {},Occurs when using reflection to access private or protected members.
InvocationTargetException,Reflection,Exception raised by a method invoked using reflection.,Inspect the underlying cause with getCause() and handle it accordingly.,"Method m = cls.getMethod(""methodName""); m.invoke(obj);",try { m.invoke(obj); } catch (InvocationTargetException e) {},Common when invoking methods dynamically via reflection.
ArrayStoreException,Runtime Exception,Attempting to store an incompatible type in an array.,Ensure the type of objects being stored matches the array's declared type.,Object[] objArray = new String[5]; objArray[0] = new Integer(10);,Use arrays with compatible types.,Occurs in array manipulations with polymorphism.
AssertionError,Error,Assertion conditions fail during runtime.,Ensure logical conditions in assertions are valid and meaningful.,assert x > 0;,Correct logic or disable assertions if not needed.,Raised during testing/debugging phases.
OutOfMemoryError: Direct Buffer Memory,JVM Error,Raised when direct buffer memory allocation exceeds limits.,Optimize memory allocation or increase direct memory limits.,ByteBuffer.allocateDirect(Integer.MAX_VALUE);,Use appropriate buffer sizes and manage memory efficiently.,Critical for NIO (New I/O) operations.
SecurityException,Security,"Attempting to violate security constraints (e.g., accessing system resources).",Ensure permissions are set correctly; validate security policies.,System.setSecurityManager(new SecurityManager());,Ensure security manager policies align with requirements.,Common in secure environments or app sandboxing.
IllegalThreadStateException,Thread Lifecycle,Thread state does not allow the requested operation.,Ensure proper thread lifecycle handling before invoking operations.,thread.start(); thread.start();,Avoid invoking start() on already-started threads.,Raised during thread execution errors.
TypeNotPresentException,Reflection,Indicates that a referenced class or type is not available.,Verify classpath and ensure all required classes are included.,"ParameterizedType pt = new ParameterizedType(""missingType"");",Correct type references or class loading configurations.,Common during runtime reflection-based operations.
ClassCircularityError,JVM Error,Circular dependencies detected during class loading.,Refactor classes to eliminate circular dependencies.,"ClassA refers to ClassB, which refers back to ClassA.",Restructure dependencies to avoid circular references.,Occurs during complex class loading scenarios.
InvalidPathException,File Handling,Indicates an invalid syntax or format in file paths.,Validate file paths before accessing or manipulating files.,"Path path = Paths.get(""invalid:/path"");",Correct file path syntax before usage.,Raised during file or directory operations.
SecurityException,Security,Trying to access restricted system resources or violating security policies.,Ensure correct permissions and validate security policies.,System.setSecurityManager(new SecurityManager());,try { System.setSecurityManager(new SecurityManager()); } catch (SecurityException e) {},Common in secure environments or restricted operations.
InvalidKeyException,Cryptography,Using an invalid key for cryptographic operations.,Validate key formats and ensure compatibility with cryptographic algorithms.,"Cipher cipher = Cipher.getInstance(""AES""); cipher.init(Cipher.ENCRYPT_MODE, invalidKey);",Use valid key formats and types compatible with algorithms.,Occurs during encryption or decryption operations.
SSLHandshakeException,SSL Communication,SSL/TLS handshake failure due to invalid certificates or protocols.,Validate SSL certificates and protocols.,"SSLSocketFactory.getSocketFactory().createSocket(""invalidServer"", port);",Use properly signed certificates and supported protocols.,Common in secure server communications.
SyncFailedException,File Handling,Failure in syncing file data to the underlying storage.,Ensure sufficient disk space and valid file system permissions.,"FileDescriptor fd = new FileOutputStream(""file.txt"").getFD(); fd.sync();",Handle disk-related exceptions gracefully.,Occurs during low-level file operations.
IllegalStateException,Runtime Exception,Invoking methods in an inappropriate state or condition.,Ensure the object?s state is valid for the operation.,scanner.next();,Validate object states and use methods in appropriate conditions.,Raised due to incorrect usage of state-sensitive methods.
