Title,Category,Cause,How to Fix,Example Before,Example After,Notes
404 Not Found,Web/HTTP,Resource or endpoint does not exist,Verify URL paths and ensure endpoint exists,Broken API URL,Use the correct endpoint in API requests,Common in HTTP-based services during development or migration.
500 Internal Server Error,Web/HTTP,Server misconfiguration or runtime issues,Inspect server logs and fix code issues,Failing server due to unhandled errors,Add error-handling mechanisms on the server,Generic error indicating problems in server-side processing or configuration.
AmbiguousMappingError,Annotation Error,Overlapping or conflicting mappings in REST controllers,Define unique request mappings in controllers,Two @GetMapping annotations for the same path,Define unique paths for each @GetMapping,Happens when endpoints conflict in Spring Boot REST controllers.
AnnotationConfigurationConflictError,Annotation Error,Conflicting annotations that affect bean behavior,Use consistent and non-conflicting annotations,Using both @Transactional and @Cacheable improperly,Separate transactional and caching logic,Leads to runtime conflicts in bean execution behavior.
AnnotationFormatError,JVM Annotation Errors,Invalid annotation types detected during runtime.,Verify annotations and ensure their proper usage.,@BrokenAnnotation,Use only valid and well-defined annotations.,Common in annotation-based processing frameworks.
ArithmeticException,Java Runtime,Dividing by zero or invalid mathematical operations,Add checks to prevent invalid operations,int result = 1 / 0;,if (denominator != 0) int result = 1 / denominator;,Common during division operations where denominator is zero.
ArrayIndexOutOfBoundsException,Arrays,Accessing array elements outside defined bounds.,Validate indices before accessing arrays.,int value = arr[-1];,if(index >= 0 && index < arr.length) value = arr[index];,Raised in dynamic array data manipulation.
ArrayStoreException,Runtime Exception,Attempting to store an incompatible type in an array.,Ensure the type of objects being stored matches the array's declared type.,Object[] objArray = new String[5]; objArray[0] = new Integer(10);,Use arrays with compatible types.,Occurs in array manipulations with polymorphism.
AssertionError,Error,Assertion conditions fail during runtime.,Ensure logical conditions in assertions are valid and meaningful.,assert x > 0;,Correct logic or disable assertions if not needed.,Raised during testing/debugging phases.
AttributeError,Python Runtime,Attempting to access an undefined object attribute,Check attribute existence with hasattr(),object.undefined_attr,"if hasattr(object, 'defined_attr'): print(object.defined_attr)",Raised when invalid attributes are referenced on objects.
AuthenticationException,Security,Errors during user authentication in secure systems.,Validate credentials and ensure correct authorization workflows.,"authService.login(user, password);",Use proper credentials and authentication services.,Occurs in enterprise-level secure applications.
BatchUpdateException,Database Transactions,Batch operations failed due to invalid data or queries.,Debug and ensure all batch queries are valid.,stmt.executeBatch(invalidBatch);,Validate batch queries before execution.,Common in bulk database updates.
BeanCreationException,Spring Boot Error,Misconfigured beans in application context,Review bean configuration,Missing bean definition in @Configuration,Add a correct bean definition using @Bean,Happens when Spring fails to instantiate a required bean.
